IL-4_train,G_T_train
0.3195187033161064,0.08
0.3455124620546413,0.23
0.3166606950913651,0.08
0.24631240073217808,0.07
0.24111424259019326,0.09
0.2736785163535368,0.23
5.172574084834399,31.94
5.336457994499808,31.73
5.107697539961456,32.79
5.275013956950561,35.0
5.965103364264985,34.76
5.447412857315161,33.65
2.179831682430923,23.27
2.378777254121753,27.12
2.2385847033595425,29.08
2.0076200602516394,10.06
1.8975303098338574,9.08
1.6059890491019377,7.23
0.5135905080869139,0.24
0.565525536857746,0.42
0.5204209024433744,0.35
0.6479734177611988,0.83
0.7259158242418177,0.86
0.6923447549470004,0.61
